name,party,district,crucial_vote_score,overall_score
"Kinzinger, Adam",R,IL-16,6.10,9.32
"Hollingsworth, Trey",R,IN-9,6.04,9.35
"Rice, Tom",R,SC-7,5.89,3.63
"Stauber, Pete",R,MN-8,5.88,14.77
"Chabot, Steve",R,OH-1,5.86,4.99
"Bishop, Dan",R,NC-9,5.76,1.95
"Cloud, Michael",R,TX-27,5.71,3.39
"Bost, Mike",R,IL-12,5.56,7.64
"Emmer, Tom",R,MN-6,5.53,5.11
"Hice, Jody",R,GA-10,5.49,1.99
"Duncan, Jeff",R,SC-3,5.46,2.97
"Norman, Ralph",R,SC-5,5.41,1.95
"Budd, Ted",R,NC-13,5.39,2.11
"Jordan, Jim",R,OH-4,5.39,2.44
"Valadao, David",R,CA-21,5.26,7.71
"Garbarino, Andrew",R,NY-2,5.21,15.88
"Miller-Meeks, Mariannette",R,IA-2,5.15,8.51
"Graves, Garret",R,LA-6,5.12,4.47
"Newhouse, Dan",R,WA-4,5.12,6.65
"Bergman, Jack",R,MI-1,5.07,5.01
"Burgess, Mike",R,TX-26,4.94,4.07
"Waltz, Michael",R,FL-6,4.86,8.95
"Armstrong, Kelly",R,ND-AL,4.81,5.94
"Jacobs, Chris",R,NY-27,4.67,10.67
"Huizenga, Bill",R,MI-2,4.59,2.98
"Thompson, Glenn",R,PA-15,4.59,8.26
"Gallagher, Mike",R,WI-8,4.52,6.22
"Garcia, Mike",R,CA-25,4.39,7.31
"Wittman, Rob",R,VA-1,4.35,4.83
"Cline, Ben",R,VA-6,4.28,2.25
"Salazar, Maria",R,FL-27,4.26,14.16
"Tenney, Claudia",R,NY-22,4.26,4.91
"Boebert, Lauren",R,CO-3,4.21,5.63
"Turner, Mike",R,OH-10,4.18,10.92
"Bacon, Don",R,NE-2,4.18,8.45
"Hinson, Ashley",R,IA-1,4.12,6.36
"Malliotakis, Nicole",R,NY-11,4.12,11.91
"Rosendale, Matt",R,MT-AL,4.12,5.17
"Spartz, Victoria",R,IN-5,4.12,5.51
"Steele, Michelle",R,CA-48,4.12,6.06
"Keller, Fred",R,PA-12,4.09,3.15
"Simpson, Mike",R,ID-2,3.98,9.17
"Loudermilk, Barry",R,GA-11,3.93,1.57
"Amodei, Mark",R,NV-2,3.88,5.79
"Gooden, Lance",R,TX-5,3.74,2.06
"Webster, Dan",R,FL-11,3.56,3.91
"Rogers, Mike",R,AL-3,3.49,6.62
"DesJarlais, Scott",R,TN-4,3.48,2.67
"Higgins, Clay",R,LA-3,3.45,2.32
"Weber, Randy",R,TX-14,3.36,2.04
"Cole, Tom",R,OK-4,3.30,7.31
"Bilirakis, Gus",R,FL-12,3.30,5.81
"Smucker, Lloyd",R,PA-11,3.29,3.76
"Palmer, Gary",R,AL-6,3.28,1.19
"Steube, Greg",R,FL-17,3.26,2.76
"Hill, French",R,AR-2,3.25,3.26
"Rose, John",R,TN-6,3.24,1.76
"Fulcher, Russ",R,ID-1,3.23,1.64
"Crenshaw, Dan",R,TX-2,3.21,6.23
"Good, Bob",R,VA-5,3.12,4.52
"Greene, Marjorie",R,GA-14,3.12,5.58
"Feenstra, Randy",R,IA-4,3.09,3.39
"Giménez, Carlos",R,FL-26,3.09,12.29
"Obernolte, Jay",R,CA-8,3.09,8.94
"Foxx, Virginia",R,NC-5,3.05,2.56
"Banks, Jim",R,IN-3,2.99,1.29
"Curtis, John",R,UT-3,2.99,2.53
"Murphy, Greg",R,NC-3,2.94,3.70
"Long, Billy",R,MO-7,2.83,2.43
"Rogers, Hal",R,KY-5,2.79,7.24
"Aderholt, Robert",R,AL-4,2.78,6.05
"Graves, Sam",R,MO-6,2.75,3.80
"Johnson, Mike",R,LA-4,2.75,2.13
"Arrington , Jodey",R,TX-19,2.70,1.54
"Johnson, Dusty",R,SD-AL,2.67,3.61
"Pence, Greg",R,IN-6,2.67,4.02
"McMorris Rodgers, Cathy",R,WA-5,2.65,4.06
"Rouzer, David",R,NC-7,2.64,1.85
"Tiffany, Tom",R,WI-7,2.63,3.14
"Smith, Jason",R,MO-8,2.60,1.42
"Scott, Austin",R,GA-8,2.50,1.89
"Hudson, Richard",R,NC-8,2.41,2.25
"McCaul, Michael",R,TX-10,2.38,4.29
"Stewart, Chris",R,UT-2,2.36,2.66
"Wenstrup, Brad",R,OH-2,2.35,2.11
"Kelly, Mike",R,PA-16,2.31,5.46
"Granger, Kay",R,TX-12,2.27,4.99
"Kelly, Trent",R,MS-1,2.27,1.39
"Wagner, Ann",R,MO-2,2.26,3.83
"LaMalfa, Doug",R,CA-1,2.24,2.47
"Lamborn, Doug",R,CO-5,2.22,1.34
"LaHood, Darin",R,IL-18,2.16,2.69
"Green, Mark",R,TN-7,2.16,1.93
"Crawford, Rick",R,AR-1,2.16,3.77
"Lucas, Frank",R,OK-3,2.15,5.09
"Womack, Steve",R,AR-3,2.13,4.98
"Rutherford, John",R,FL-4,2.11,5.66
"Hern, Kevin",R,OK-1,2.08,1.23
"Miller, Mary",R,IL-15,2.08,3.15
"Owens, Burgess",R,UT-4,2.08,3.42
"Barr, Andy",R,KY-6,2.08,2.75
"Bentz, Cliff",R,OR-2,2.06,4.24
"Moore, Blake",R,UT-1,2.06,4.72
"Nehls, Troy",R,TX-22,2.06,1.28
"Van Duyne, Beth",R,TX-24,2.06,1.71
"Babin, Brian",R,TX-36,2.05,1.16
"Issa, Darrell",R,CA-50,2.01,3.42
"Walberg, Timothy",R,MI-7,2.01,2.43
"Scalise, Steve",R,LA-1,1.97,1.76
"Wilson, Joe",R,SC-2,1.92,2.14
"McHenry, Patrick",R,NC-10,1.83,2.57
"Cheney, Liz",R,WY-AL,1.80,3.22
"Ferguson, Drew",R,GA-3,1.79,1.59
"Carter, John",R,TX-31,1.79,3.99
"Bucshon, Larry",R,IN-8,1.69,4.13
"Johnson, Bill",R,OH-6,1.69,3.53
"Brady, Kevin",R,TX-8,1.67,2.73
"Timmons, William",R,SC-4,1.67,1.53
"Carter, Buddy",R,GA-1,1.65,1.51
"Westerman, Bruce",R,AR-4,1.63,1.18
"Moolenaar, John",R,MI-4,1.62,4.10
"Hagedorn, Jim",R,MN-1,1.61,3.35
"Guest, Michael",R,MS-3,1.60,3.21
"Mullin, Markwayne",R,OK-2,1.56,2.40
"Calvert, Ken",R,CA-42,1.56,6.12
"Williams, Roger",R,TX-25,1.56,1.58
"McCarthy, Kevin",R,CA-23,1.55,3.10
"Smith, Adrian",R,NE-3,1.55,2.08
"Hartzler, Vicky",R,MO-4,1.53,3.01
"Guthrie, Brett",R,KY-2,1.43,4.08
"Letlow, Julia",R,LA-5,1.43,3.18
"Walorski, Jackie",R,IN-2,1.39,3.36
"Palazzo, Steven",R,MS-4,1.35,2.63
"Luetkemeyer, Blaine",R,MO-3,1.27,3.36
"Fleischmann, Chuck",R,TN-3,1.25,3.26
"Estes, Ron",R,KS-4,1.25,1.18
"Sessions, Pete",R,TX-17,1.16,1.52
"Nunes, Devin",R,CA-22,1.15,3.55
"Reschenthaler, Guy",R,PA-14,1.08,6.86
"Miller, Carol",R,WV-3,1.08,3.07
"Meuser, Dan",R,PA-9,1.07,2.58
"Gibbs, Bob",R,OH-7,1.07,2.74
"Herrell, Yvette",R,NM-2,1.05,2.23
"Donalds, Byron",R,FL-19,1.04,1.72
"Moore, Barry",R,AL-2,1.04,0.88
"Bice, Stephanie",R,OK-5,1.03,3.39
"Cammack, Kat",R,FL-3,1.03,2.13
"Cawthorn, Madison",R,NC-11,1.03,1.30
"Clyde, Andrew",R,GA-9,1.03,1.30
"Fischbach, Michelle",R,MN-7,1.03,1.27
"McClain, Lisa",R,MI-10,1.03,0.85
"Allen, Rick",R,GA-12,1.02,0.67
"Balderson, Troy",R,OH-12,1.02,4.36
"Latta, Bob",R,OH-5,0.97,1.53
"Kustoff, David",R,TN-8,0.90,1.55
"Lesko, Debbie",R,AZ-8,0.88,1.56
"Dunn, Neal",R,FL-2,0.61,2.22
"Joyce, John",R,PA-13,0.54,1.51
"Baird, Jim",R,IN-4,0.53,3.50
"Carl, Jerry",R,AL-1,0.00,0.85
"Ellzey, Jake",R,TX-6,0.00,0.00
"Fallon, Pat",R,TX-4,0.00,0.43
"Fitzgerald, Scott",R,WI-5,0.00,0.00
"Franklin, Scott",R,FL-15,0.00,0.43
"Harshbarger, Diana",R,TN-1,0.00,0.43
"Jackson, Ronny",R,TX-13,0.00,1.36
"LaTurner, Jake",R,KS-2,0.00,0.85
"Mann, Tracey",R,KS-1,0.00,0.42
"Pfluger, August",R,TX-11,0.00,0.44
