name_x,party,congressperson_progressiveness_score,overall_score,state,senate,name_y,code,population,land_area_km2,social_progress_index
"Hayes, Jahana",D,90.32,97.94,CT,False,Connecticut,CT,"3,605,944","12,542",61.09
"Mfume, Kweisi",D,90.3,94.08,MD,False,Maryland,MD,"6,177,224","25,142",54.47
"Cohen, Steve",D,90.25,96.21,TN,False,Tennessee,TN,"6,910,840","106,798",41.24
"Matsui, Doris",D,90.23,96.38,CA,False,California,CA,"39,538,223","403,466",45.53
"Scanlon, Mary Gay",D,90.1,97.79,PA,False,Pennsylvania,PA,"13,002,700","115,883",51.08
"Gallego, Ruben",D,90.02,97.01,AZ,False,Arizona,AZ,"7,151,502","294,207",45.43
"Kildee, Dan",D,90.01,96.67,MI,False,Michigan,MI,"10,077,331","146,435",50.76
"Sarbanes, John",D,89.97,96.79,MD,False,Maryland,MD,"6,177,224","25,142",54.47
"Welch, Peter",D,89.97,96.23,VT,False,Vermont,VT,"643,077","23,871",61.9
"Blumenauer, Earl",D,89.8,94.17,OR,False,Oregon,OR,"4,237,256","248,608",53.36
"Ross, Deborah",D,89.69,95.76,NC,False,North Carolina,NC,"10,439,388","125,920",46.8
"Rush, Bobby",D,89.37,94.09,IL,False,Illinois,IL,"12,812,508","143,793",52.33
"McCollum, Betty",D,88.96,95.12,MN,False,Minnesota,MN,"5,706,494","206,232",62.3
"Adams, Alma",D,88.96,96.74,NC,False,North Carolina,NC,"10,439,388","125,920",46.8
"Dingell, Debbie",D,88.93,96.9,MI,False,Michigan,MI,"10,077,331","146,435",50.76
"Lawrence, Brenda",D,88.82,96.82,MI,False,Michigan,MI,"10,077,331","146,435",50.76
"Wilson, Frederica",D,88.61,95.8,FL,False,Florida,FL,"21,538,187","138,887",45.93
"Meng, Grace",D,87.92,96.15,NY,False,New York,NY,"20,201,249","122,057",54.76
"DeLauro, Rosa",D,87.91,93.62,CT,False,Connecticut,CT,"3,605,944","12,542",61.09
"Doggett, Lloyd",D,87.88,92.76,TX,False,Texas,TX,"29,145,505","676,587",40.27
"Pallone, Frank",D,87.73,93.47,NJ,False,New Jersey,NJ,"9,288,994","19,047",54.26
"Lofgren, Zoe",D,87.59,92.69,CA,False,California,CA,"39,538,223","403,466",45.53
"Yarmuth, John",D,87.43,96.04,KY,False,Kentucky,KY,"4,505,836","102,269",38.6
"Lieu, Ted",D,87.37,96.42,CA,False,California,CA,"39,538,223","403,466",45.53
